10.59.01.172283 PL300 login 
11.04.35.785884 PL300 words 1 
11.04.36.244122 PL300 words 2 
11.04.37.145500 PL300 words 1 
11.04.37.587677 PL300 words 2 
11.04.38.175271 PL300 words 1 
11.04.38.629480 PL300 words 2 
11.04.39.191976 PL300 words 2 
11.04.39.711358 PL300 words 1 
11.04.40.316062 PL300 words 2 
11.04.40.739187 PL300 words 1 
11.04.41.130238 PL300 words 2 
11.04.41.524295 PL300 words 1 
11.04.41.897278 PL300 words 2 
11.04.42.285312 PL300 words 1 
11.04.42.629226 PL300 words 2 
11.04.42.975146 PL300 words 1 
11.04.43.285972 PL300 words 2 
11.04.43.691048 PL300 words 1 
11.04.43.974803 PL300 words 2 
11.04.44.270628 PL300 words 1 
11.04.44.430014 PL300 words 2 
11.04.44.738862 PL300 words 1 
11.04.45.035625 PL300 words 2 
11.04.45.274271 PL300 words 1 
11.04.45.520914 PL300 words 2 
11.04.45.931022 PL300 words 1 
11.04.46.192710 PL300 words 2 
11.04.46.551665 PL300 words 1 
11.04.46.894577 PL300 words 2 
11.04.47.302665 PL300 words 1 
11.04.47.581404 PL300 words 2 
11.04.47.957404 PL300 words 1 
11.04.48.238150 PL300 words 2 
11.04.48.644231 PL300 words 1 
11.04.49.004195 PL300 words 2 
11.04.49.442354 PL300 words 1 
11.04.49.801307 PL300 words 2 
11.04.50.207387 PL300 words 2 
11.04.50.660592 PL300 words 1 
11.04.50.987540 PL300 words 2 
11.04.51.347469 PL300 words 1 
11.04.51.535963 PL300 words 2 
11.04.51.909956 PL300 words 1 
11.04.52.206756 PL300 words 2 
11.04.52.504551 PL300 words 1 
11.04.52.785283 PL300 words 2 
11.04.53.050991 PL300 words 1 
11.04.53.394905 PL300 words 2 
11.04.53.690692 PL300 words 1 
11.04.54.065689 PL300 words 2 
11.04.54.363481 PL300 words 1 
11.04.54.629187 PL300 words 2 
11.04.54.942019 PL300 words 1 
11.04.55.205720 PL300 words 2 
11.04.55.566680 PL300 words 1 
11.04.55.848429 PL300 words 2 
11.04.56.207389 PL300 words 2 
11.04.56.613469 PL300 words 2 
11.04.56.988467 PL300 words 1 
11.04.57.331379 PL300 words 1 
11.04.57.660282 PL300 words 2 
11.04.58.019237 PL300 words 2 
11.04.58.425321 PL300 words 1 
11.04.58.739169 PL300 words 2 
11.04.59.145255 PL300 words 1 
11.04.59.409940 PL300 words 2 
11.04.59.769897 PL300 words 1 
11.05.00.080761 PL300 words 2 
11.05.00.425641 PL300 words 1 
11.05.00.754532 PL300 words 2 
11.05.01.175636 PL300 words 1 
11.05.01.441341 PL300 words 2 
11.05.01.785268 PL300 words 1 
11.05.02.067005 PL300 words 2 
11.05.02.442046 PL300 words 2 
11.05.02.831072 PL300 words 1 
11.05.03.080735 PL300 words 2 
11.05.03.487843 PL300 words 1 
11.05.03.738522 PL300 words 2 
11.05.04.159639 PL300 words 1 
11.05.04.379213 PL300 words 2 
11.05.04.706083 PL300 words 1 
11.05.04.956749 PL300 words 2 
11.05.05.254540 PL300 words 1 
11.05.05.550327 PL300 words 2 
11.05.05.878199 PL300 words 1 
11.05.06.175992 PL300 words 2 
11.05.06.894937 PL300 words 1 
11.05.07.331091 PL300 words 1 
11.05.07.659965 PL300 words 2 
11.05.08.050002 PL300 words 2 
11.05.08.425000 PL300 words 1 
11.05.08.722791 PL300 words 2 
11.05.09.097798 PL300 words 1 
11.05.09.379539 PL300 words 2 
11.05.09.817704 PL300 words 1 
11.05.10.096445 PL300 words 2 
11.05.10.504531 PL300 words 1 
11.05.10.831399 PL300 words 2 
11.05.11.129236 PL300 words 1 
11.05.11.441065 PL300 words 2 
11.05.11.863188 PL300 words 1 
11.05.12.081785 PL300 words 2 
11.05.12.410649 PL300 words 1 
11.05.12.786644 PL300 words 2 
11.05.13.191721 PL300 words 1 
11.05.13.426356 PL300 words 2 
11.05.13.769296 PL300 words 1 
11.05.14.098170 PL300 words 2 
11.05.14.473169 PL300 words 1 
11.05.14.753913 PL300 words 2 
11.05.15.097832 PL300 words 1 
11.05.15.424699 PL300 words 2 
11.05.15.769614 PL300 words 1 
11.05.16.066403 PL300 words 2 
11.05.16.394290 PL300 words 1 
11.05.16.724152 PL300 words 2 
11.05.17.082104 PL300 words 1 
11.05.17.300734 PL300 words 2 
11.05.17.691783 PL300 words 1 
11.05.17.862226 PL300 words 2 
11.05.18.097855 PL300 words 1 
11.05.18.238240 PL300 words 2 
11.05.18.520028 PL300 words 1 
11.05.18.628315 PL300 words 2 
11.05.19.019355 PL300 words 2 
11.05.19.426439 PL300 words 2 
11.05.19.847557 PL300 words 1 
11.05.20.113270 PL300 words 2 
11.05.20.473227 PL300 words 1 
11.05.20.784063 PL300 words 2 
11.05.21.098890 PL300 words 1 
11.05.21.441823 PL300 words 2 
11.05.21.800778 PL300 words 1 
11.05.22.097567 PL300 words 2 
11.05.22.535732 PL300 words 1 
11.05.22.755316 PL300 words 2 
11.05.23.099231 PL300 words 1 
11.05.23.330846 PL300 words 2 
11.05.23.597594 PL300 words 1 
11.05.23.847259 PL300 words 2 
11.05.24.111964 PL300 words 1 
11.05.24.456881 PL300 words 2 
11.05.24.894043 PL300 words 1 
11.05.25.205872 PL300 words 2 
11.05.25.581871 PL300 words 1 
11.05.25.877658 PL300 words 2 
11.05.26.270702 PL300 words 1 
11.05.26.552477 PL300 words 2 
11.05.26.963216 PL300 words 1 
11.05.27.427087 PL300 words 2 
11.05.27.901754 PL300 words 2 
11.05.28.317647 PL300 words 1 
11.05.28.648385 PL300 words 2 
11.05.29.067445 PL300 words 1 
11.05.29.336572 PL300 words 2 
11.05.29.755238 PL300 words 1 
